단어(0) : 		품사 :  SW 
단어(13633) : 말씀		품사 : NNG 
단어(13634) : 씨		품사 : NNB NNG 
단어(13635) : 시외버스		품사 : NNG 
단어(13636) : 敎育		품사 : SH 
단어(13637) : 吐露		품사 : SH 
단어(13638) : 씩		품사 : XSN MAG 
단어(13639) : 기구		품사 : NNG 
단어(13640) : 합병증		품사 : NNG 
단어(13641) : 中進國		품사 : SH 
단어(13642) : 전시회		품사 : NNG 
단어(13643) : 建國理念		품사 : SH 
단어(13644) : 교조		품사 : NNG 
단어(13645) : 기교		품사 : NNG 
단어(13646) : 친절		품사 : NNG 
단어(13647) : 생매장		품사 : NNG 
단어(13648) : 왼발		품사 : NNG 
단어(13649) : 쪼록		품사 : NNG 
단어(13650) : 씹		품사 : VV NNG 
단어(13651) : 농기구		품사 : NNG 
단어(13652) : 권세		품사 : NNG 
단어(13653) : 직후		품사 : NNG 
단어(13654) : 씻		품사 : VV 
단어(13655) : 다블뤼		품사 : NNP 
단어(13656) : 신간		품사 : NNG 
단어(13657) : 관용차		품사 : NNG 
단어(13658) : 忘年詩		품사 : SH 
단어(13659) : 지휘		품사 : NNG 
단어(13660) : 농아		품사 : NNG 
단어(13661) : 아		품사 : EC EF IC JKV NNP 
단어(13662) : 악		품사 : NNG 
단어(13663) : 조웅전		품사 : NNP 
단어(13664) : 안		품사 : NNG MAG VV NNP 
단어(13665) : 현기증		품사 : NNG 
단어(13666) : 앉		품사 : VV 
단어(13667) : 기권		품사 : NNG 
단어(13668) : 침울		품사 : XR 
단어(13669) : 않		품사 : VX VV 
단어(13670) : 논의		품사 : NNG 
단어(13671) : 알		품사 : VV NNG NNP 
단어(13672) : 체신부		품사 : NNG 
단어(13673) : 공존의식		품사 : NNG 
단어(13674) : 농악		품사 : NNG 
단어(13675) : 수업료		품사 : NNG 
단어(13676) : 결정체		품사 : NNG 
단어(13677) : 말씨		품사 : NNG 
단어(13678) : 막연		품사 : XR 
단어(13679) : 계획서		품사 : NNG 
단어(13680) : 앓		품사 : VV 
단어(13681) : 준교사		품사 : NNG 
단어(13682) : 암		품사 : IC NNG 
단어(13683) : 기저귀		품사 : NNG 
단어(13684) : 앗		품사 : VV IC 
단어(13685) : 았		품사 : EP 
단어(13686) : 초가을		품사 : NNG 
단어(13687) : 냉수마찰		품사 : NNG 
단어(13688) : 懸案		품사 : SH 
단어(13689) : 외벽		품사 : NNG 
단어(13690) : 총력안보		품사 : NNG 
단어(13691) : 앞		품사 : NNG 
단어(13692) : 애		품사 : EF NNG 
단어(13693) : 구애		품사 : NNG 
단어(13694) : 공평		품사 : NNG 
단어(13695) : ㄹ라우		품사 : EF 
단어(13696) : 절룩거리		품사 : VV 
단어(13697) : 왕성		품사 : XR 
단어(13698) : 소행		품사 : NNG 
단어(13699) : 사적지		품사 : NNG 
단어(13700) : 앨		품사 : NNP 
단어(13701) : 도무지		품사 : MAG 
단어(13702) : 고환		품사 : NNG 
단어(13703) : 국악		품사 : NNG 
단어(13704) : 더블크로스		품사 : NNP 
단어(13705) : 檢察		품사 : SH 
단어(13706) : 국가보위		품사 : NNG 
단어(13707) : 시계		품사 : NNG 
단어(13708) : 속하		품사 : VV 
단어(13709) : 300		품사 : SN 
단어(13710) : 301		품사 : SN 
단어(13711) : 黨所屬		품사 : SH 
단어(13712) : 수사단장		품사 : NNG 
단어(13713) : 수자원공사		품사 : NNP 
단어(13714) : 303		품사 : SN 
단어(13715) : 시경		품사 : NNG 
단어(13716) : 야		품사 : NNG JX EF EC JKV IC 
단어(13717) : 함부로		품사 : MAG 
단어(13718) : 배용준		품사 : NNP 
단어(13719) : 약		품사 : MM NNG 
단어(13720) : 요리		품사 : NNG 
단어(13721) : 민충단		품사 : NNG 
단어(13722) : 中世		품사 : SH 
단어(13723) : 시공		품사 : NNG 
단어(13724) : 특성		품사 : NNG 
단어(13725) : 공포		품사 : NNG 
단어(13726) : 敗者		품사 : SH 
단어(13727) : 개발도상국		품사 : NNG 
단어(13728) : 패도		품사 : NNG 
단어(13729) : 농약		품사 : NNG 
단어(13730) : 얇		품사 : VA 
단어(13731) : 질환		품사 : NNG 
단어(13732) : 美協		품사 : SH 
단어(13733) : 신경통		품사 : NNG 
단어(13734) : 레미제라블		품사 : NNP 
단어(13735) : 집필		품사 : NNG 
단어(13736) : 친족		품사 : NNG 
단어(13737) : 인력난		품사 : NNG 
단어(13738) : 노점		품사 : NNG 
단어(13739) : 農廳		품사 : SH 
단어(13740) : 카약		품사 : NNG 
단어(13741) : 양		품사 : NNB MM NNG NNP 
단어(13742) : 송파		품사 : NNP 
단어(13743) : 시골		품사 : NNG 
단어(13744) : TRS		품사 : SL 
단어(13745) : 얕		품사 : VA 
단어(13746) : 313		품사 : SN 
단어(13747) : 대의명분		품사 : NNG 
단어(13748) : 송판		품사 : NNG 
단어(13749) : 얘		품사 : IC NP 
단어(13750) : TRW		품사 : SL 
단어(13751) : 효율		품사 : NNG 
단어(13752) : 사라지		품사 : VV 
단어(13753) : 치중		품사 : NNG 
단어(13754) : 집합		품사 : NNG 
단어(13755) : 식수원		품사 : NNG 
단어(13756) : 브르타뉴		품사 : NNP 
단어(13757) : 뒷자리		품사 : NNG 
단어(13758) : 수출액		품사 : NNG 
단어(13759) : 만연		품사 : XR 
단어(13760) : 어		품사 : EC EF NNG 
단어(13761) : 연출		품사 : NNG 
단어(13762) : 실감		품사 : NNG 
단어(13763) : 억		품사 : NR 
단어(13764) : 샤를르		품사 : NNP 
단어(13765) : 언		품사 : NNG 
단어(13766) : 스도		품사 : NNP 
단어(13767) : 얹		품사 : VV 
단어(13768) : 툭툭		품사 : MAG 
단어(13769) : 얻		품사 : VV 
단어(13770) : 시관		품사 : NNG 
단어(13771) : 얼		품사 : NNG VV 
단어(13772) : 얽		품사 : VV 
단어(13773) : 치주		품사 : NNP 
단어(13774) : 부패		품사 : NNG 
단어(13775) : 곤혹		품사 : NNG 
단어(13776) : 오일		품사 : NNG 
단어(13777) : 집행		품사 : NNG 
단어(13778) : 櫻內		품사 : SH 
단어(13779) : 언어생활		품사 : NNG 
단어(13780) : 신경		품사 : NNG 
단어(13781) : 업		품사 : VV NNG 
단어(13782) : 없		품사 : VA 
단어(13783) : 었		품사 : EP 
단어(13784) : 오이		품사 : NNG 
단어(13785) : 어부가		품사 : NNP 
단어(13786) : 배우자		품사 : NNG 
단어(13787) : 왜냐하면		품사 : MAJ 
단어(13788) : 기금		품사 : NNG 
단어(13789) : 소형차		품사 : NNG 
단어(13790) : 농업		품사 : NNG 
단어(13791) : 엎		품사 : VV 
단어(13792) : 에		품사 : JKB NNG 
단어(13793) : 요망		품사 : NNG 
단어(13794) : 농어		품사 : NNG 
단어(13795) : 논쟁		품사 : NNG 
단어(13796) : 엔		품사 : NNG NNB 
단어(13797) : 호프		품사 : NNG 
단어(13798) : 사사경		품사 : NNG 
단어(13799) : 박영숙		품사 : NNP 
단어(13800) : 노동청		품사 : NNG 
단어(13801) : 物價安定		품사 : SH 
단어(13802) : 몰려가		품사 : VV 
단어(13803) : Serge		품사 : SL 
단어(13804) : 놀이		품사 : NNG 
단어(13805) : 두꺼비		품사 : NNG 
단어(13806) : 역수입		품사 : NNG 
단어(13807) : 마웅		품사 : NNP 
단어(13808) : 여		품사 : XSN NNG JKV EF 
단어(13809) : 쓸모없		품사 : VA 
단어(13810) : 역		품사 : NNG 
단어(13811) : 노조		품사 : NNG 
단어(13812) : 엮		품사 : VV 
단어(13813) : 대우그룹		품사 : NNP 
단어(13814) : 비행기		품사 : NNG 
단어(13815) : 연		품사 : MM NNG 
단어(13816) : 욕망		품사 : NNG 
단어(13817) : 국어		품사 : NNG 
단어(13818) : 효자		품사 : NNG 
단어(13819) : 히트곡		품사 : NNG 
단어(13820) : 열		품사 : VV NR NNG 
단어(13821) : 여치		품사 : NNG 
단어(13822) : 우뚝		품사 : MAG 
단어(13823) : 해프닝		품사 : NNG 
단어(13824) : 엷		품사 : VA 
단어(13825) : 옥이		품사 : NNP 
단어(13826) : 오입		품사 : NNG 
단어(13827) : 달아오르		품사 : VV 
단어(13828) : 손해		품사 : NNG 
단어(13829) : 염		품사 : NNG 
단어(13830) : 도미노		품사 : NNG 
단어(13831) : 엿		품사 : NNG 
단어(13832) : 원단		품사 : NNG 
단어(13833) : 영		품사 : MAG NNG NNP 
단어(13834) : 犯罪須卽治者		품사 : SH 
단어(13835) : 침입		품사 : NNG 
단어(13836) : 실내악		품사 : NNG 
단어(13837) : 옅		품사 : VA 
단어(13838) : 옆		품사 : NNG 
단어(13839) : 新神學		품사 : SH 
단어(13840) : 前人		품사 : SH 
단어(13841) : 예		품사 : NNG IC 
단어(13842) : 어필		품사 : NNG 
단어(13843) : 시구		품사 : NNG 
단어(13844) : 시국		품사 : NNG 
단어(13845) : 진흙		품사 : NNG 
단어(13846) : Must		품사 : SL 
단어(13847) : 350		품사 : SN 
단어(13848) : 351		품사 : SN 
단어(13849) : 외부		품사 : NNG 
단어(13850) : 정공법		품사 : NNG 
단어(13851) : 소형		품사 : NNG 
단어(13852) : 綠以綠緞		품사 : SH 
단어(13853) : 공표		품사 : NNG 
단어(13854) : 구역		품사 : NNG 
단어(13855) : 김남수		품사 : NNP 
단어(13856) : 카잔차키스		품사 : NNP 
단어(13857) : 기기		품사 : NNG 
단어(13858) : 外米		품사 : SH 
단어(13859) : 대대손손		품사 : NNG 
단어(13860) : 펄렁거리		품사 : VV 
단어(13861) : 신고		품사 : NNG 
단어(13862) : 옛		품사 : NNG MM 
단어(13863) : 大學街		품사 : SH 
단어(13864) : 호피		품사 : NNG 
단어(13865) : 분파		품사 : NNG 
단어(13866) : 푸리니		품사 : NNP 
단어(13867) : 오		품사 : VX VV NR EF EP NNP IC EC 
단어(13868) : 침장		품사 : NNG 
단어(13869) : 혹하		품사 : VV 
단어(13870) : 옥		품사 : NNG 
단어(13871) : 파이낸스		품사 : NNG 
단어(13872) : 빨래		품사 : NNG 
단어(13873) : 나이다		품사 : EF 
단어(13874) : 온		품사 : MM 
단어(13875) : 시권		품사 : NNG 
단어(13876) : 領織慮文十三		품사 : SH 
단어(13877) : 원대		품사 : XR 
단어(13878) : 치즈		품사 : NNG 
단어(13879) : 비밀		품사 : NNG 
단어(13880) : 소홀		품사 : NNG 
단어(13881) : 정치권력		품사 : NNG 
단어(13882) : 올		품사 : MM NNG 
단어(13883) : 옭		품사 : VV 
단어(13884) : 송편		품사 : NNG 
단어(13885) : 363		품사 : SN 
단어(13886) : 適應力		품사 : SH 
단어(13887) : 옳		품사 : VA 
단어(13888) : 녹색등		품사 : NNG 
단어(13889) : 안치득		품사 : NNP 
단어(13890) : 옵		품사 : EP 
단어(13891) : 文章		품사 : SH 
단어(13892) : 눈뜨		품사 : VV 
단어(13893) : 옷		품사 : NNG 
단어(13894) : 식구		품사 : NNG 
단어(13895) : 진흥		품사 : NNG 
단어(13896) : 옹		품사 : NNB 
단어(13897) : 말엽		품사 : NNG 
단어(13898) : 율곡사업		품사 : NNP 
단어(13899) : 父慈子孝		품사 : SH 
단어(13900) : 묵책요		품사 : NNP 
단어(13901) : 어학		품사 : NNG 
단어(13902) : 묵묵히		품사 : MAG 
단어(13903) : 끼적거리		품사 : VV 
단어(13904) : 와		품사 : JC JKB IC VV 
단어(13905) : 긴급		품사 : NNG 
단어(13906) : 그때		품사 : NNG 
단어(13907) : 화투		품사 : NNG 
단어(13908) : 티격태격		품사 : MAG 
단어(13909) : 몸무게		품사 : NNG 
단어(13910) : 맹세		품사 : NNG 
단어(13911) : 忠武市		품사 : SH 
단어(13912) : 372		품사 : SN 
단어(13913) : 나뭇결		품사 : NNG 
단어(13914) : 소화		품사 : NNG 
단어(13915) : 딱하		품사 : VA 
단어(13916) : 油價引上		품사 : SH 
단어(13917) : 소환		품사 : NNG 
단어(13918) : 청장실		품사 : NNG 
단어(13919) : 왕		품사 : NNG 
단어(13920) : 잃어버리		품사 : VV 
단어(13921) : 용량		품사 : NNG 
단어(13922) : 어해		품사 : EF 
단어(13923) : 혹한		품사 : NNG 
단어(13924) : 왜		품사 : MAG IC 
단어(13925) : 계열사		품사 : NNG 
단어(13926) : 부평		품사 : NNP 
단어(13927) : 홍패		품사 : NNG 
단어(13928) : 머리		품사 : NNG 
단어(13929) : 짚방석		품사 : NNG 
단어(13930) : 교직		품사 : NNG 
단어(13931) : 솔선수범		품사 : NNG 
단어(13932) : 특수		품사 : NNG 
단어(13933) : 교지		품사 : NNG 
단어(13934) : 네팔		품사 : NNP 
단어(13935) : 성도일보		품사 : NNP 
단어(13936) : 군역		품사 : NNG 
단어(13937) : 신교		품사 : NNG 
단어(13938) : 오정		품사 : NNP 
단어(13939) : 而在衣端者		품사 : SH 
단어(13940) : 마을		품사 : NNG 
단어(13941) : 바틀로		품사 : NNP 
단어(13942) : 최희준		품사 : NNP 
단어(13943) : Baughman		품사 : SL 
단어(13944) : 385		품사 : SN 
단어(13945) : 비방		품사 : NNG 
단어(13946) : 기능사		품사 : NNG 
단어(13947) : 순례지		품사 : NNG 
단어(13948) : 모내기		품사 : NNG 
단어(13949) : 외		품사 : NNB NNG VV 
단어(13950) : 오전		품사 : NNG 
단어(13951) : 번지르르		품사 : MAG 
단어(13952) : 노태우		품사 : NNP 
단어(13953) : 訴訟		품사 : SH 
단어(13954) : 양어깨		품사 : NNG 
단어(13955) : 시뻘겋		품사 : VA 
단어(13956) : 실과		품사 : NNG 
단어(13957) : 침적		품사 : NNG 
단어(13958) : 휘몰		품사 : VV 
단어(13959) : 독일어		품사 : NNP 
단어(13960) : 함지박		품사 : NNG 
단어(13961) : 한오백년		품사 : NNP 
단어(13962) : 그리로		품사 : MAG 
단어(13963) : 심각		품사 : XR 
단어(13964) : 예식장		품사 : NNG 
단어(13965) : 베를린		품사 : NNP 
단어(13966) : 가야금		품사 : NNG 
단어(13967) : 곱하		품사 : VV 
단어(13968) : 마음		품사 : NNG 
단어(13969) : 담임선생		품사 : NNG 
단어(13970) : 코오롱패션산업		품사 : NNP 
단어(13971) : 만원		품사 : NNG 
단어(13972) : 요		품사 : EC JX EF NNG MM 
단어(13973) : 욕		품사 : NNG 
단어(13974) : 누렇		품사 : VA 
단어(13975) : 긴긴		품사 : MM 
단어(13976) : 토스카나		품사 : NNP 
단어(13977) : 소회		품사 : NNG 
단어(13978) : 컬러		품사 : NNG 
단어(13979) : 바이러스		품사 : NNG 
단어(13980) : 국왕		품사 : NNG 
단어(13981) : 잠재력		품사 : NNG 
단어(13982) : 인터내셔널		품사 : NNG 
단어(13983) : 빈민		품사 : NNG 
단어(13984) : 영천		품사 : NNP 
단어(13985) : 갸우뚱		품사 : MAG 
단어(13986) : 시트로엥		품사 : NNP 
단어(13987) : 용		품사 : XSN NNG 
단어(13988) : 喪服		품사 : SH 
단어(13989) : 박관용		품사 : NNP 
단어(13990) : 일양약품		품사 : NNP 
단어(13991) : 底力		품사 : SH 
단어(13992) : 판잣집		품사 : NNG 
단어(13993) : 우		품사 : NNG IC JKG EC 
단어(13994) : 소지자		품사 : NNG 
단어(13995) : 운		품사 : NNG 
단어(13996) : 시급		품사 : XR 
단어(13997) : 수업		품사 : NNG 
단어(13998) : 수없		품사 : VA 
단어(13999) : 分堂		품사 : SH 
단어(14000) : 혼합		품사 : NNG 
단어(14001) : 빅뱅		품사 : NNG 
단어(14002) : 울		품사 : VV 
단어(14003) : 구요		품사 : EF 
단어(14004) : 임효택		품사 : NNP 
단어(14005) : 여사무원		품사 : NNG 
단어(14006) : 광안동		품사 : NNP 
단어(14007) : 집회		품사 : NNG 
단어(14008) : 웃		품사 : VV 
단어(14009) : 만유		품사 : NNG 
단어(14010) : 빈발		품사 : NNG 
단어(14011) : 우람		품사 : XR 
단어(14012) : 온전		품사 : XR 
단어(14013) : 비법		품사 : NNG 
단어(14014) : 비범		품사 : XR 
단어(14015) : 野黨		품사 : SH 
단어(14016) : 오존		품사 : NNG 
단어(14017) : 언행		품사 : NNG 
단어(14018) : 始末		품사 : SH 
단어(14019) : 시기		품사 : NNG 
단어(14020) : 수여		품사 : NNG 
단어(14021) : 수역		품사 : NNG 
단어(14022) : 윗잠바		품사 : NNG 
단어(14023) : 원		품사 : NNB NNG IC NNP 
단어(14024) : 비번		품사 : NNG 
단어(14025) : 월		품사 : NNB NNG 
단어(14026) : 엽총		품사 : NNG 
단어(14027) : 어버이		품사 : NNG 
단어(14028) : 모건		품사 : NNP 
단어(14029) : 卓上行政		품사 : SH 
단어(14030) : 김양리		품사 : NNP 
단어(14031) : 개선책		품사 : NNG 
단어(14032) : 신규		품사 : NNG NNP 
단어(14033) : 喪杖		품사 : SH 
단어(14034) : 마음먹		품사 : VV 
단어(14035) : 막장		품사 : NNG 
단어(14036) : 웬		품사 : MM 
단어(14037) : 갑자기		품사 : MAG 
단어(14038) : 구원		품사 : NNG 
단어(14039) : 친진		품사 : NNG 
단어(14040) : 수영		품사 : NNG 
단어(14041) : 국운		품사 : NNG 
단어(14042) : 온정		품사 : NNG 
단어(14043) : 농원		품사 : NNG 
단어(14044) : 웹		품사 : NNG 
단어(14045) : 어형		품사 : NNG 
단어(14046) : 欖位		품사 : SH 
단어(14047) : 수염		품사 : NNG 
단어(14048) : 친지		품사 : NNG 
단어(14049) : 마인드		품사 : NNG 
단어(14050) : 호혜		품사 : NNG 
단어(14051) : 분포		품사 : NNG 
단어(14052) : 우량		품사 : NNG 
단어(14053) : 빠르		품사 : VA 
단어(14054) : 위		품사 : NNG NNB 
단어(14055) : 끌려가		품사 : VV 
단어(14056) : 뒤섞이		품사 : VV 
단어(14057) : 호화		품사 : NNG 
단어(14058) : 쇠창살		품사 : NNG 
단어(14059) : 으뜸가		품사 : VV 
단어(14060) : 수온		품사 : NNG 
단어(14061) : 吳壽永		품사 : SH 
단어(14062) : 以白玉爲之		품사 : SH 
단어(14063) : 공해		품사 : NNG 
단어(14064) : 얼핏		품사 : MAG 
단어(14065) : 모계		품사 : NNG 
단어(14066) : 공항		품사 : NNG 
단어(14067) : 공학		품사 : NNG 
단어(14068) : ㄹ래야		품사 : EC 
단어(14069) : 들어주		품사 : VV 
단어(14070) : 부풀		품사 : VV 
단어(14071) : 면담		품사 : NNG 
단어(14072) : 윗		품사 : MM 
단어(14073) : 틈새		품사 : NNG 
단어(14074) : 와아		품사 : IC 
단어(14075) : 부품		품사 : NNG 
단어(14076) : 강수진		품사 : NNP 
단어(14077) : 유		품사 : NNP 
단어(14078) : 육		품사 : NNG 
단어(14079) : 국위		품사 : NNG 
단어(14080) : 윤		품사 : NNP NNG 
단어(14081) : 달갑잖		품사 : VA 
단어(14082) : 族類不睦		품사 : SH 
단어(14083) : 동대문병원		품사 : NNP 
단어(14084) : 외숙모		품사 : NNG 
단어(14085) : 어처구니없		품사 : VA 
단어(14086) : 불편		품사 : NNG 
단어(14087) : 만일		품사 : NNG MAG 
단어(14088) : 상속세		품사 : NNG 
단어(14089) : 율		품사 : XSN NNG 
단어(14090) : 머구리		품사 : NNG 
단어(14091) : 맹수		품사 : NNG 
단어(14092) : 호황		품사 : NNG 
단어(14093) : 마저		품사 : JX MAG 
단어(14094) : 실권		품사 : NNG 
단어(14095) : 군요		품사 : EF 
단어(14096) : 수완		품사 : NNG 
단어(14097) : 재소자		품사 : NNG 
단어(14098) : 융		품사 : NNP 
단어(14099) : 보좌관		품사 : NNG 
단어(14100) : 목격		품사 : NNG 
단어(14101) : 먹먹		품사 : XR 
단어(14102) : 왕실		품사 : NNG 
단어(14103) : 염출		품사 : NNG 
단어(14104) : 신효범		품사 : NNP 
단어(14105) : 호환		품사 : NNG 
단어(14106) : 빌미		품사 : NNG 
단어(14107) : 예찬		품사 : NNG 
단어(14108) : 致誠		품사 : SH 
단어(14109) : 禮記		품사 : SH 
단어(14110) : 으		품사 : NNG 
단어(14111) : 돌아다보		품사 : VV 
단어(14112) : 은		품사 : JX ETM NNG 
단어(14113) : 오죽		품사 : MAG 
단어(14114) : 획책		품사 : NNG 
단어(14115) : 희년		품사 : NNG 
단어(14116) : 6099		품사 : SN 
단어(14117) : 을		품사 : JKO ETM NNG 
단어(14118) : 陸軍		품사 : SH 
단어(14119) : 신기		품사 : XR 
단어(14120) : 명년		품사 : NNG 
단어(14121) : 심경		품사 : NNG 
단어(14122) : 읊		품사 : VV 
단어(14123) : 패거리		품사 : NNG 
단어(14124) : 쇤베르크		품사 : NNP 
단어(14125) : 음		품사 : ETN NNG IC 
단어(14126) : 타개책		품사 : NNG 
단어(14127) : 읍		품사 : NNG 
단어(14128) : 金利差益		품사 : SH 
단어(14129) : 응		품사 : IC 
단어(14130) : 지승호		품사 : NNP 
단어(14131) : 이타르타스		품사 : NNP 
단어(14132) : 뒤따르		품사 : VV 
단어(14133) : 불평		품사 : NNG 
단어(14134) : 빈번		품사 : XR 
단어(14135) : 의		품사 : JKG NNG 
단어(14136) : ㅂ시오		품사 : EC EF 
단어(14137) : 심결		품사 : NNG 
단어(14138) : 극소수		품사 : NNG 
단어(14139) : 공헌		품사 : NNG 
단어(14140) : 수요		품사 : NNG 
단어(14141) : 공허		품사 : XR NNG 
단어(14142) : 우려		품사 : NNG 
단어(14143) : consolidation		품사 : SL 
단어(14144) : 경원선		품사 : NNP 
단어(14145) : 金相範		품사 : SH 
단어(14146) : 오줌		품사 : NNG 
단어(14147) : 녹지		품사 : NNG 
단어(14148) : 많이		품사 : MAG 
단어(14149) : 너희		품사 : NP 
단어(14150) : 누룩		품사 : NNG 
단어(14151) : 이		품사 : VCP NP JKS JKC MM NNP NNB NR VV NNG EC 
단어(14152) : 카피라이터		품사 : NNG 
단어(14153) : 姻戚		품사 : SH 
단어(14154) : 익		품사 : VA VV 
단어(14155) : 傾聽		품사 : SH 
단어(14156) : 인		품사 : NNG NNP 
단어(14157) : 소희		품사 : NNP 
단어(14158) : 구의		품사 : NNG 
단어(14159) : 멀리		품사 : MAG 
단어(14160) : 목공		품사 : NNG 
단어(14161) : 일		품사 : NNP NNG NNB VV NR 
단어(14162) : 읽		품사 : VV 
단어(14163) : 통제주의		품사 : NNG 
단어(14164) : 루마니아		품사 : NNP 
단어(14165) : 성적표		품사 : NNG 
단어(14166) : 잃		품사 : VV 
단어(14167) : 속히		품사 : MAG 
단어(14168) : 임		품사 : NNP NNG 
단어(14169) : 입		품사 : VV NNG 
단어(14170) : 잇		품사 : VV 
단어(14171) : 있		품사 : VX VV 
단어(14172) : 수용		품사 : NNG 
단어(14173) : 잊		품사 : VV 
단어(14174) : 미쓰즈카		품사 : NNP 
단어(14175) : 회천		품사 : NNP 
단어(14176) : 不可		품사 : SH 
단어(14177) : 구입		품사 : NNG 
단어(14178) : 잎		품사 : NNG 
단어(14179) : 자		품사 : EC NNB EF VV NNG IC 
단어(14180) : 작		품사 : VA NNG 
단어(14181) : 맏이		품사 : NNG 
단어(14182) : 잔		품사 : NNG NNP 
단어(14183) : 부대시설		품사 : NNG 
단어(14184) : 징후		품사 : NNG 
단어(14185) : 잘		품사 : MAG VA ETM 
단어(14186) : 위급		품사 : NNG 
단어(14187) : 구이		품사 : NNG 
단어(14188) : 카인		품사 : NNP 
단어(14189) : 달겨들		품사 : VV 
단어(14190) : 잠		품사 : NNG 
단어(14191) : 잡		품사 : VV 
단어(14192) : 잣		품사 : NNG 
단어(14193) : 수월		품사 : XR 
단어(14194) : 장		품사 : NNG NNP NNB 
단어(14195) : 잦		품사 : VA 
단어(14196) : 담뱃대		품사 : NNG 
단어(14197) : 오차드거리		품사 : NNP 
단어(14198) : 싱겁		품사 : VA 
단어(14199) : 責任行政		품사 : SH 
단어(14200) : 투표		품사 : NNG 
단어(14201) : 재		품사 : XPN VV NNG EC 
단어(14202) : 이민우		품사 : NNP 
단어(14203) : 농장		품사 : NNG 
단어(14204) : 만전		품사 : NNG 
단어(14205) : 결정짓		품사 : VV 
단어(14206) : 경기은행		품사 : NNP 
단어(14207) : 열화랑		품사 : NNP 
단어(14208) : 농작		품사 : NNG 
단어(14209) : 위기		품사 : NNG 
단어(14210) : 굴욕		품사 : NNG 
단어(14211) : 달아매		품사 : VV 
단어(14212) : 국익		품사 : NNG 
단어(14213) : 종량제		품사 : NNG 
단어(14214) : 감기약		품사 : NNG 
단어(14215) : 과학		품사 : NNG 
단어(14216) : 과하		품사 : VA 
단어(14217) : 집안일		품사 : NNG 
단어(14218) : 워터게이트		품사 : NNP 
단어(14219) : 愍忠壇		품사 : SH 
단어(14220) : 국장		품사 : NNG 
단어(14221) : 부하		품사 : NNG 
단어(14222) : 숙원		품사 : NNG 
단어(14223) : 이병광		품사 : NNP 
단어(14224) : 마을민		품사 : NNG 
단어(14225) : 빗물		품사 : NNG 
단어(14226) : 만점		품사 : NNG 
단어(14227) : 씨부랄		품사 : IC 
단어(14228) : 우롱		품사 : NNG 
단어(14229) : 下命		품사 : SH 
단어(14230) : 기다리		품사 : VV 
단어(14231) : 후예		품사 : NNG 
단어(14232) : 레이저		품사 : NNG 
단어(14233) : 진흥원		품사 : NNG 
단어(14234) : 변호인		품사 : NNG 
단어(14235) : 창세기		품사 : NNP 
단어(14236) : 누르		품사 : VV 
단어(14237) : 화폐		품사 : NNG 
단어(14238) : 살인마		품사 : NNG 
단어(14239) : 색동저고리		품사 : NNG 
단어(14240) : 공화		품사 : NNP 
단어(14241) : 북한		품사 : NNP 
단어(14242) : 자격루		품사 : NNP 
단어(14243) : 원자재		품사 : NNG 
단어(14244) : 時日		품사 : SH 
단어(14245) : 유니버설		품사 : NNP 
단어(14246) : 수위		품사 : NNG 
단어(14247) : 지작사		품사 : NNP 
단어(14248) : 관서평난록		품사 : NNP 
단어(14249) : 機智		품사 : SH 
단어(14250) : 코카서스		품사 : NNP 
단어(14251) : 씨름단		품사 : NNG 
단어(14252) : 한국보건사회연구원		품사 : NNP 
단어(14253) : 축하단		품사 : NNG 
단어(14254) : 어휘		품사 : NNG 
단어(14255) : 후보군		품사 : NNG 
단어(14256) : 부합		품사 : NNG 
단어(14257) : 저		품사 : NP XPN MM IC 
단어(14258) : 오밀조밀		품사 : MAG 
단어(14259) : 적		품사 : XSN NNB VA NNG VV 
단어(14260) : 공황		품사 : NNG 
단어(14261) : 손수건		품사 : NNG 
단어(14262) : 전		품사 : NNG MM NNP 
단어(14263) : 오지		품사 : NNG 
단어(14264) : 북해		품사 : NNP 
단어(14265) : 오직		품사 : MAG 
단어(14266) : 美文化院		품사 : SH 
단어(14267) : 이봉걸		품사 : NNP 
단어(14268) : 절		품사 : NNG 
단어(14269) : 구절		품사 : NNG 
단어(14270) : 젊		품사 : VA 
단어(14271) : 흔들		품사 : VV 
단어(14272) : 엄하		품사 : VA 
단어(14273) : 신부출		품사 : NNG 
단어(14274) : 점		품사 : NNB NNG 
단어(14275) : 수유		품사 : NNG 
단어(14276) : 접		품사 : VV 
단어(14277) : 수육		품사 : NNG 
단어(14278) : 젓		품사 : VV 
단어(14279) : 머물		품사 : VV 
단어(14280) : 정		품사 : NNG NNP MAG 
단어(14281) : 젖		품사 : VV NNG 
단어(14282) : 캡슐		품사 : NNG 
단어(14283) : 어휴		품사 : IC 
단어(14284) : 가부간		품사 : MAG 
단어(14285) : 동거인		품사 : NNG 
단어(14286) : 제		품사 : XSN XPN NNG NP 
단어(14287) : 급등		품사 : NNG 
단어(14288) : 군인		품사 : NNG 
단어(14289) : 러시아		품사 : NNP 
단어(14290) : 송정국교		품사 : NNP 
단어(14291) : 휘발		품사 : NNG 
단어(14292) : 군장		품사 : NNG 
단어(14293) : 국적		품사 : NNG 
단어(14294) : 한국개발연구원		품사 : NNP 
단어(14295) : 국전		품사 : NNG 
단어(14296) : 마주		품사 : MAG 
단어(14297) : 구제		품사 : NNG 
단어(14298) : 소환장		품사 : NNG 
단어(14299) : 롯데그룹		품사 : NNP 
